example_id                                                         | status  | run_time        |
./spec/models/payment_spec.rb[1:1:2]                               | passed  | 0.00378 seconds |
./spec/models/payment_spec.rb[1:1:3]                               | passed  | 0.00497 seconds |
./spec/models/payment_spec.rb[1:2:1]                               | passed  | 0.00263 seconds |
./spec/models/payment_spec.rb[1:2:2]                               | passed  | 0.00266 seconds |
./spec/models/payment_spec.rb[1:2:3]                               | passed  | 0.00283 seconds |
./spec/models/payment_spec.rb[1:2:4]                               | passed  | 0.00264 seconds |
./spec/models/payment_spec.rb[1:3:1]                               | passed  | 0.00255 seconds |
./spec/models/student_spec.rb[1:1:1]                               | passed  | 0.00434 seconds |
./spec/models/student_spec.rb[1:1:2]                               | passed  | 0.00452 seconds |
./spec/models/student_spec.rb[1:2:1]                               | passed  | 0.00253 seconds |
./spec/models/student_spec.rb[1:2:2]                               | passed  | 0.00239 seconds |
./spec/models/student_spec.rb[1:2:3]                               | passed  | 0.00241 seconds |
./spec/models/student_spec.rb[1:3:1]                               | passed  | 0.00231 seconds |
./spec/models/student_spec.rb[1:3:2]                               | passed  | 0.0027 seconds  |
./spec/models/student_spec.rb[1:3:3]                               | passed  | 0.00213 seconds |
./spec/models/student_spec.rb[1:4:1]                               | passed  | 0.00176 seconds |
./spec/models/subject_item_note_spec.rb[1:1:1]                     | passed  | 0.00382 seconds |
./spec/models/subject_item_note_spec.rb[1:1:2]                     | passed  | 0.0031 seconds  |
./spec/models/subject_item_note_spec.rb[1:2:1]                     | passed  | 0.00204 seconds |
./spec/models/subject_item_note_spec.rb[1:2:2]                     | passed  | 0.00421 seconds |
./spec/models/subject_item_note_spec.rb[1:3:1]                     | passed  | 0.00216 seconds |
./spec/models/subject_item_note_spec.rb[1:3:2]                     | passed  | 0.00204 seconds |
./spec/models/subject_item_spec.rb[1:1:1]                          | passed  | 0.00321 seconds |
./spec/models/subject_item_spec.rb[1:2:1]                          | passed  | 0.00191 seconds |
./spec/models/subject_item_spec.rb[1:2:2]                          | passed  | 0.00184 seconds |
./spec/models/subject_item_spec.rb[1:3:1]                          | passed  | 0.00213 seconds |
./spec/models/subject_item_spec.rb[1:3:2]                          | passed  | 0.00204 seconds |
./spec/models/subject_item_spec.rb[1:3:3]                          | passed  | 0.00179 seconds |
./spec/models/subject_item_spec.rb[1:3:4]                          | passed  | 0.0024 seconds  |
./spec/models/teacher_spec.rb[1:1:1]                               | passed  | 0.00521 seconds |
./spec/models/teacher_spec.rb[1:1:2]                               | passed  | 0.00384 seconds |
./spec/models/teacher_spec.rb[1:1:3]                               | passed  | 0.00372 seconds |
./spec/models/teacher_spec.rb[1:1:4]                               | passed  | 0.00534 seconds |
./spec/models/teacher_spec.rb[1:2:1]                               | passed  | 0.00196 seconds |
./spec/models/teacher_spec.rb[1:2:2]                               | passed  | 0.00204 seconds |
./spec/models/teacher_spec.rb[1:2:3]                               | passed  | 0.00192 seconds |
./spec/models/teacher_spec.rb[1:3:1]                               | passed  | 0.00207 seconds |
./spec/models/teacher_spec.rb[1:4:1]                               | passed  | 0.00213 seconds |
